from,to,dndsvalue
GCA_002505455.1,GCA_002686885.1,1.31527689325048
GCA_021786385.1,GCA_021812735.1,1.17746936873995
GCA_021785095.1,GCA_021791675.1,1.25447602259302
GCA_002894305.1,GCF_001592225.1,1.62233764773787
GCA_000193795.2,GCA_923184405.1,1.7214293161938
GCF_000154845.1,GCA_019414725.1,1.42258128950614
GCA_021805955.1,GCA_021810735.1,1.33708149332396
GCA_902566925.1,GCF_001179965.1,1.25247446251212
GCA_021816955.1,GCA_021827545.1,1.97701870888814
GCF_900083515.1,GCA_021835265.1,1.67524781185575
GCA_021851885.1,GCA_021806045.1,1.15767338966328
GCA_021831025.1,GCA_021794335.1,1.25265151191019
GCA_021780395.1,GCA_021808035.1,1.1215579780293
GCA_021809755.1,GCA_021790415.1,1.87624000655668
GCA_021827865.1,GCA_021788415.1,1.49679782256074
GCF_001280125.1,GCA_007858575.1,1.42938619138863
GCA_021780415.1,GCA_021798655.1,1.10385462768119
GCA_021810175.1,GCA_021810735.1,1.74157923511727
GCA_021816165.1,GCA_021808485.1,1.94401115237259
GCA_021793945.1,GCA_021792595.1,1.5960526767043
GCA_017405445.1,GCA_017406955.1,1.59507177049014
GCF_017255015.1,GCF_004521985.1,1.85283532762529
GCA_023489025.1,GCA_021802605.1,1.20135569573129
GCA_003220225.1,GCA_003222275.1,1.6955201592113
GCA_017417585.1,GCA_017431185.1,1.70130977619362
GCA_021826765.1,GCA_021790415.1,1.3123793719243
GCF_000157915.1,GCF_000235885.1,1.3306838250591
GCA_023379555.1,GCA_021797915.1,1.7288186053121
GCA_002502705.1,GCA_021847855.1,1.32208147840224
GCA_021161765.1,GCA_003601795.1,1.23238313187935
GCA_000405345.1,GCA_000405605.1,1.94088210998487
GCA_021826505.1,GCA_021804195.1,1.14657981550515
GCA_021823365.1,GCA_021803085.1,1.29332721814088
GCA_017882855.1,GCA_017881985.1,1.78830641431654
